a,b,mean_diff,t,dof,p,cohen_d
tanh,relu,28.202484130859375,13.044416113767953,5.747074171221195,1.7344759286810324e-05,9.22379509066439
tanh,leaky,27.896400451660156,13.821969973292308,5.213940486782967,2.6251421227638056e-05,9.773608697471833
tanh,gelu,32.32038116455078,18.745343125546395,3.307511902376885,0.00017921527738307507,13.254959239742485
tanh,silu,22.260452270507812,11.436914095368953,4.82784967880618,0.00011128843767061944,8.087119512683396
relu,leaky,-0.30608367919921875,-0.17404667309385993,5.781673596755752,0.8677621982092036,-0.12306958278762657
relu,gelu,4.117897033691406,2.9174963786435018,3.4691264901459133,0.05159143114283359,2.0629814734260155
relu,silu,-5.9420318603515625,-3.5461477913795276,5.45659946770854,0.014214065067375934,-2.5075051503741626
leaky,gelu,4.423980712890625,3.7507704227122267,3.6903422112370032,0.023028196178129668,2.6521952005737486
leaky,silu,-5.635948181152344,-3.7939525410978336,5.901534278786322,0.009316115725692522,-2.682729569310212
gelu,silu,-10.059928894042969,-9.565090383627352,3.887028623407306,0.0007660733454299239,-6.763540272925136
