activation,task,rank,mean_metric
gelu,cls,2,0.9220559224486351
leaky,cls,5,0.9205921068787575
mish,cls,4,0.9208717122673988
relu,cls,6,0.9205263257026672
silu,cls,3,0.9210032895207405
swiglu,cls,1,0.9246546104550362
tanh,cls,7,0.9192763194441795
gelu,lm,2,310.04338455200195
leaky,lm,4,314.04824447631836
mish,lm,6,320.85752868652344
relu,lm,3,313.6535987854004
silu,lm,5,320.0163040161133
swiglu,lm,1,298.3992919921875
tanh,lm,7,344.717227935791
gelu,lm_large,2,64.82575511932373
leaky,lm_large,3,66.08798789978027
mish,lm_large,6,67.41834259033203
relu,lm_large,4,66.12918186187744
silu,lm_large,5,66.83280658721924
swiglu,lm_large,1,63.27555322647095
tanh,lm_large,7,77.0770492553711
gelu,vision_cnn,3,0.8534624949097633
leaky,vision_cnn,5,0.8491625040769577
mish,vision_cnn,2,0.855787493288517
relu,vision_cnn,4,0.8499374985694885
silu,vision_cnn,1,0.8570250123739243
tanh,vision_cnn,6,0.7722874879837036
gelu,vision_vit,2,0.7459500059485435
leaky,vision_vit,4,0.732000008225441
mish,vision_vit,5,0.7205249965190887
relu,vision_vit,3,0.7333250045776367
silu,vision_vit,6,0.7204249948263168
swiglu,vision_vit,1,0.7709500044584274
tanh,vision_vit,7,0.6761625036597252
