task,activation,std,grad_l2,rel_update,dead_fraction,tanh_saturation_pre,tanh_saturation_post
cls,gelu,0.3573082955280346,0.5135054949539242,0.0465983453397571,,,
cls,leaky,0.3674888445530729,0.5294642788364571,0.04788225320653776,0.5319834629678726,,
cls,mish,0.3982478545790301,0.4927086638536627,0.045337626072450114,,,
cls,relu,0.36569835024708486,0.531117058352745,0.047988613887040295,0.5323650266488393,,
cls,scaled_tanh,2.013450270534415,0.39678154569212803,0.03784149842201985,,5.305608113606772e-09,7.458835919698079e-05
cls,silu,0.34243126526181017,0.4915518601124867,0.04541798699775946,,,
cls,swiglu,0.45658963507461886,0.5058490446342274,0.04449166433577578,,,
cls,tanh,0.49785578324898866,0.4571584399251185,0.042950824394283264,,6.516774495442708e-11,3.894075870513916e-05
lm,gelu,0.3386623520900098,0.05267260292571245,0.0020022114862691216,,,
lm,leaky,0.35582883378555435,0.054488138453636224,0.0020886568035015343,0.6378556528377257,,
lm,mish,0.40079651802974997,0.04984376947554743,0.001867470365260416,,,
lm,relu,0.35502256591348613,0.05475105600598276,0.002101098715061292,0.6366294550129421,,
lm,scaled_tanh,2.2122964905713745,0.044623420155186826,0.0016158934048562828,,0.00010316198910470535,0.004413017851973343
lm,silu,0.35294804634147003,0.050211716453905944,0.0018849315135623106,,,
lm,swiglu,0.8263409487455559,0.054614121287858426,0.002248877014033407,,,
lm,tanh,0.5518583914444184,0.04817949327545859,0.0017891684090388634,,0.00010101614367495228,0.004371054047632472
lm_large,gelu,0.22089266283679745,0.10274883175836778,0.0031913477645880636,,,
lm_large,leaky,0.19975852697064206,0.10557673445434378,0.0033460559130816837,0.842932435229151,,
lm_large,mish,0.33835857110217016,0.1008379570380948,0.0030927503598566193,,,
lm_large,relu,0.19933064078604765,0.10606960307709459,0.003373535276222897,0.8381153739721787,,
lm_large,scaled_tanh,2.7646249857026963,0.09207042237156446,0.0026904472964471658,,0.033765639307208016,0.10432744879209922
lm_large,silu,0.30422463782968207,0.10052325260553928,0.003082454448302974,,,
lm_large,swiglu,0.6448559482969928,0.10075084066768235,0.0035473583503612943,,,
lm_large,tanh,0.6780398771279299,0.0962919949994287,0.0029549894608393657,,0.027412027613634146,0.0911760927198617
vision_cnn,gelu,0.8742609163609533,0.18843417359305986,0.023826357729507766,,,
vision_cnn,leaky,0.8685408166232418,0.19950867593944233,0.025422966766606086,0.43770507727235597,,
vision_cnn,mish,0.8933116661303285,0.18836023361579085,0.02389256804825645,,,
vision_cnn,relu,0.8681187009481125,0.19970488579663948,0.025454387279754354,0.4364486938940208,,
vision_cnn,scaled_tanh,3.052621443631011,0.3759414067450187,0.04762256304876423,,0.12251962530065966,0.2542809384759621
vision_cnn,silu,0.8270592844958722,0.1863300116754075,0.023624283008258515,,,
vision_cnn,tanh,0.670027953387162,0.22513596863991425,0.029656437174181947,,0.0014561855515487763,0.028376878613000294
vision_vit,gelu,0.33624148912276747,0.4007521950221651,0.030818991132355346,,,
vision_vit,leaky,0.3088323698612194,0.4164786246049514,0.0319803412765632,0.6663590075743473,,
vision_vit,mish,0.3937068928772429,0.37198579374491725,0.02951504556547036,,,
vision_vit,relu,0.307131586631301,0.41766016304765574,0.03204558364388844,0.6684439937446394,,
vision_vit,scaled_tanh,2.139563384444389,0.3065622145369971,0.02630957755346936,,7.916085368097329e-05,0.0038088397535186664
vision_vit,silu,0.34853248739048615,0.37044588871160095,0.02942436353508567,,,
vision_vit,swiglu,0.6403710808407661,0.42418465511906456,0.03113889415901402,,,
vision_vit,tanh,0.5236257277143905,0.3344739049300239,0.027839248681494344,,8.233936060780182e-05,0.0028173023213449687
