activation,mean,std,min,max,count,rank,task,metric
silu,0.8570250123739243,0.0023523486094999928,0.8528000116348267,0.8610000014305115,8,1,vision_cnn,best_val_top1
mish,0.855787493288517,0.0032348273832311886,0.8496999740600586,0.8600999712944031,8,2,vision_cnn,best_val_top1
gelu,0.8534624949097633,0.0029178919224074236,0.8495000004768372,0.8586999773979187,8,3,vision_cnn,best_val_top1
relu,0.8499374985694885,0.0042142404729572334,0.8424000144004822,0.8540999889373779,8,4,vision_cnn,best_val_top1
leaky,0.8491625040769577,0.002435416084037617,0.845300018787384,0.852400004863739,8,5,vision_cnn,best_val_top1
tanh,0.7722874879837036,0.005711247314991441,0.7642999887466431,0.7803999781608582,8,6,vision_cnn,best_val_top1
scaled_tanh,0.6009499952197075,0.009377643882132984,0.5856999754905701,0.616100013256073,8,7,vision_cnn,best_val_top1
swiglu,0.9246546104550362,0.001011744701768431,0.9228947162628174,0.9260526299476624,8,1,cls,best_val_top1
gelu,0.9220559224486351,0.0017930389127119178,0.9193421006202698,0.9239473938941956,8,2,cls,best_val_top1
silu,0.9210032895207405,0.001619073644306184,0.918684184551239,0.9228947162628174,8,3,cls,best_val_top1
mish,0.9208717122673988,0.0016553354776053237,0.9184210300445556,0.9225000143051147,8,4,cls,best_val_top1
leaky,0.9205921068787575,0.0022506136635834966,0.9175000190734864,0.9231578707695008,8,5,cls,best_val_top1
relu,0.9205263257026672,0.0023600496718754384,0.9171052575111388,0.9232894778251648,8,6,cls,best_val_top1
tanh,0.9192763194441795,0.0013818047779148937,0.9165789484977722,0.9215789437294006,8,7,cls,best_val_top1
scaled_tanh,0.9188980236649513,0.0010984736210017448,0.917236864566803,0.9201315641403198,8,8,cls,best_val_top1
swiglu,0.7709500044584274,0.0038954297385247567,0.7659000158309937,0.7778000235557556,8,1,vision_vit,best_val_top1
gelu,0.7459500059485435,0.007079753214635129,0.7389000058174133,0.7565000057220459,8,2,vision_vit,best_val_top1
relu,0.7333250045776367,0.007316081204868673,0.7247999906539917,0.7437999844551086,8,3,vision_vit,best_val_top1
leaky,0.732000008225441,0.007945520488212817,0.7210000157356262,0.7419999837875366,8,4,vision_vit,best_val_top1
mish,0.7205249965190887,0.007036591708155499,0.7125999927520752,0.73089998960495,8,5,vision_vit,best_val_top1
silu,0.7204249948263168,0.006856854046108034,0.7106999754905701,0.7305999994277954,8,6,vision_vit,best_val_top1
tanh,0.6761625036597252,0.002163940489363777,0.6728000044822693,0.679099977016449,8,7,vision_vit,best_val_top1
scaled_tanh,0.6477375030517578,0.00787291598990764,0.6378999948501587,0.6618000268936157,8,8,vision_vit,best_val_top1
swiglu,63.27555322647095,0.6464641969112667,62.5672721862793,64.29640197753906,8,1,lm_large,best_val_ppl
gelu,64.82575511932373,0.6926062492124305,64.03208923339844,65.84612274169922,8,2,lm_large,best_val_ppl
leaky,66.08798789978027,0.8211488520820215,65.21867370605469,67.68773651123047,8,3,lm_large,best_val_ppl
relu,66.12918186187744,0.7003572741282713,65.44969177246094,67.5233154296875,8,4,lm_large,best_val_ppl
silu,66.83280658721924,1.0028779838591853,65.64212799072266,68.17127227783203,8,5,lm_large,best_val_ppl
mish,67.41834259033203,0.9213810863668543,66.17919921875,68.49723052978516,8,6,lm_large,best_val_ppl
tanh,77.0770492553711,0.39637696435304376,76.56957244873047,77.59058380126953,8,7,lm_large,best_val_ppl
scaled_tanh,80.99451351165771,0.28802134201377405,80.64605712890625,81.39142608642578,8,8,lm_large,best_val_ppl
swiglu,298.3992919921875,2.6136394065808686,295.3843688964844,302.7467346191406,8,1,lm,best_val_ppl
gelu,310.04338455200195,1.545266990938008,307.7640686035156,311.7334289550781,8,2,lm,best_val_ppl
relu,313.6535987854004,2.660938879145298,310.37432861328125,318.0974426269531,8,3,lm,best_val_ppl
leaky,314.04824447631836,2.493642311298896,310.57135009765625,317.95574951171875,8,4,lm,best_val_ppl
silu,320.0163040161133,1.846088017214854,318.1337280273437,323.0604248046875,8,5,lm,best_val_ppl
mish,320.85752868652344,1.6955394581967012,318.2264404296875,323.176513671875,8,6,lm,best_val_ppl
tanh,344.717227935791,3.000011234498237,340.16046142578125,348.92333984375,8,7,lm,best_val_ppl
scaled_tanh,356.65924072265625,1.5353858002896548,353.8175048828125,358.6594543457031,8,8,lm,best_val_ppl
