task,probe,n_activations,spearman_rho,p
lm,std,8,0.4285714285714286,0.2894032248467901
lm,grad_l2,8,-0.880952380952381,0.0038503204637324005
lm,rel_update,8,-0.9285714285714287,0.0008629681828999767
lm_large,std,8,0.5476190476190477,0.16002564253889653
lm_large,grad_l2,8,-0.6190476190476191,0.10173303745426478
lm_large,rel_update,8,-0.880952380952381,0.0038503204637324005
cls,std,8,0.523809523809524,0.1827207505397148
cls,grad_l2,8,-0.3571428571428572,0.38512064355625614
cls,rel_update,8,-0.261904761904762,0.530922861565801
vision_cnn,std,7,0.14285714285714288,0.7599453002180927
vision_cnn,grad_l2,7,0.9642857142857145,0.00045414916919416935
vision_cnn,rel_update,7,0.9285714285714288,0.0025194724037946887
vision_vit,std,8,0.4047619047619048,0.3198886412288163
vision_vit,grad_l2,8,-0.9285714285714287,0.0008629681828999767
vision_vit,rel_update,8,-0.8095238095238096,0.014902667686230072
