a,b,n_a,n_b,mean_a,mean_b,mean_diff,t,dof,p_raw,cohen_d,p_holm,direction
gelu,leaky,8,8,310.04338455200195,314.04824447631836,-4.004859924316406,-3.861260286850821,11.685207196934908,0.0023737056052365864,-1.93063014342541,0.009494822420946345,min
gelu,mish,8,8,310.04338455200195,320.85752868652344,-10.814144134521484,-13.333147082680092,13.8811300888132,2.656053137266759e-09,-6.666573541340046,3.718474392173463e-08,min
gelu,relu,8,8,310.04338455200195,313.6535987854004,-3.6102142333984375,-3.3184755259959773,11.239214852434586,0.006661594235326319,-1.6592377629979886,0.019984782705978955,min
gelu,scaled_tanh,8,8,310.04338455200195,356.65924072265625,-46.6158561706543,-60.52693313848871,13.999423904782203,2.4347383489566707e-18,-30.263466569244354,6.817267377078677e-17,min
gelu,silu,8,8,310.04338455200195,320.0163040161133,-9.972919464111328,-11.716750964174196,13.579274318541662,1.759293255083004e-08,-5.858375482087098,1.9352225805913046e-07,min
gelu,swiglu,8,8,310.04338455200195,298.3992919921875,11.644092559814453,10.847000324703062,11.360916973765088,2.439927838959257e-07,5.423500162351531,2.439927838959257e-06,min
gelu,tanh,8,8,310.04338455200195,344.717227935791,-34.67384338378906,-29.061954665491225,10.470136204196944,2.3667517782308826e-11,-14.530977332745612,4.4968283786386767e-10,min
leaky,mish,8,8,314.04824447631836,320.85752868652344,-6.809284210205078,-6.386903100760203,12.332713382083941,3.056569025301849e-05,-3.1934515503801015,0.0002445255220241479,min
leaky,relu,8,8,314.04824447631836,313.6535987854004,0.39464569091796875,0.30608732962939134,13.941380973383842,0.7640613377066814,0.15304366481469567,0.7640613377066814,min
leaky,scaled_tanh,8,8,314.04824447631836,356.65924072265625,-42.61099624633789,-41.1559722519323,11.640587893107375,5.687651933392328e-14,-20.57798612596615,1.3081599446802354e-12,min
leaky,silu,8,8,314.04824447631836,320.0163040161133,-5.968059539794922,-5.440622631837996,12.900567596503048,0.00011611942786302629,-2.7203113159189978,0.0006482242264704307,min
leaky,swiglu,8,8,314.04824447631836,298.3992919921875,15.64895248413086,12.252807499997447,13.969188442529012,7.333668972136084e-09,6.126403749998723,9.533769663776909e-08,min
leaky,tanh,8,8,314.04824447631836,344.717227935791,-30.668983459472656,-22.236223350191995,13.547334809423653,4.691496777663922e-12,-11.118111675095998,9.382993555327845e-11,min
mish,relu,8,8,320.85752868652344,313.6535987854004,7.203929901123047,6.457791646804128,11.879817757193775,3.275653018905673e-05,3.228895823402064,0.0002445255220241479,min
mish,scaled_tanh,8,8,320.85752868652344,356.65924072265625,-35.80171203613281,-44.26943512124963,13.864403183149706,2.4941285342695167e-16,-22.134717560624814,6.7341470425276954e-15,min
mish,silu,8,8,320.85752868652344,320.0163040161133,0.8412246704101562,0.9492423208707033,13.899896120147755,0.35871070924144133,0.47462116043535163,0.7174214184828827,min
mish,swiglu,8,8,320.85752868652344,298.3992919921875,22.458236694335938,20.389251725009938,12.00535137573671,1.10562327506847e-10,10.194625862504969,1.9901218951232458e-09,min
mish,tanh,8,8,320.85752868652344,344.717227935791,-23.859699249267578,-19.583692694787945,11.057920453749192,6.194749660120831e-10,-9.791846347393973,9.292124490181247e-09,min
relu,scaled_tanh,8,8,313.6535987854004,356.65924072265625,-43.00564193725586,-39.5940858427016,11.196028005388673,2.1741710416316295e-13,-19.7970429213508,4.783176291589585e-12,min
relu,silu,8,8,313.6535987854004,320.0163040161133,-6.362705230712891,-5.556832119045855,12.471024250049252,0.00010803737107840513,-2.7784160595229275,0.0006482242264704307,min
relu,swiglu,8,8,313.6535987854004,298.3992919921875,15.25430679321289,11.567706585284505,13.995498931288191,1.5008786996126648e-08,5.783853292642252,1.801054439535198e-07,min
relu,tanh,8,8,313.6535987854004,344.717227935791,-31.063629150390625,-21.910142860620045,13.803329434377769,4.044897417032678e-12,-10.95507143031002,8.494284575768625e-11,min
scaled_tanh,silu,8,8,356.65924072265625,320.0163040161133,36.64293670654297,43.16369758986445,13.550039065107574,6.622331741305087e-16,21.581848794932224,1.7218062527393226e-14,min
scaled_tanh,swiglu,8,8,356.65924072265625,298.3992919921875,58.25994873046875,54.36160833462719,11.31723245291639,4.795189868152003e-15,27.180804167313596,1.198797467038001e-13,min
scaled_tanh,tanh,8,8,356.65924072265625,344.717227935791,11.942012786865234,10.022627577562504,10.431615717313392,1.112061242224573e-06,5.011313788781252,1.0008551180021156e-05,min
silu,swiglu,8,8,320.0163040161133,298.3992919921875,21.61701202392578,19.107711013292878,12.592595790163553,1.1215011713216916e-10,9.553855506646439,1.9901218951232458e-09,min
silu,tanh,8,8,320.0163040161133,344.717227935791,-24.700923919677734,-19.83377592919887,11.63652694376234,2.4853520647252355e-10,-9.916887964599434,3.976563303560377e-09,min
swiglu,tanh,8,8,298.3992919921875,344.717227935791,-46.317935943603516,-32.92589359925984,13.742055144094525,1.800190235304465e-14,-16.46294679962992,4.3204565647307157e-13,min
