a,b,n_a,n_b,mean_a,mean_b,mean_diff,t,dof,p_raw,cohen_d,p_holm,direction
gelu,leaky,8,8,64.82575511932373,66.08798789978027,-1.262232780456543,-3.3234078487652585,13.61296094610521,0.005194730874412225,-1.6617039243826293,0.03636311612088557,min
gelu,mish,8,8,64.82575511932373,67.41834259033203,-2.592587471008301,-6.361707304344682,12.996270718566933,2.492475808058367e-05,-3.180853652172341,0.0002741723388864204,min
gelu,relu,8,8,64.82575511932373,66.12918186187744,-1.303426742553711,-3.7428304255748275,13.998266411048643,0.002184566060752101,-1.8714152127874137,0.017476528486016808,min
gelu,scaled_tanh,8,8,64.82575511932373,80.99451351165771,-16.168758392333984,-60.967551808679005,9.350753699585397,1.7673809732714985e-13,-30.483775904339502,4.418452433178746e-12,min
gelu,silu,8,8,64.82575511932373,66.83280658721924,-2.007051467895508,-4.657704170947547,12.439868130627254,0.0005030618709592483,-2.328852085473773,0.004527556838633234,min
gelu,swiglu,8,8,64.82575511932373,63.27555322647095,1.5502018928527832,4.6279339002962585,13.93397759558096,0.00039587976390313896,2.3139669501481293,0.0039587976390313894,min
gelu,tanh,8,8,64.82575511932373,77.0770492553711,-12.251294136047363,-43.42294315347303,11.141117593209422,8.740380395828395e-14,-21.711471576736514,2.2724989029153828e-12,min
leaky,mish,8,8,66.08798789978027,67.41834259033203,-1.3303546905517578,-3.0488067973509447,13.818322764163351,0.008780089218926035,-1.5244033986754724,0.045734688045486305,min
leaky,relu,8,8,66.08798789978027,66.12918186187744,-0.04119396209716797,-0.10795817501225452,13.659923295080587,0.915598545672309,-0.05397908750612726,0.915598545672309,min
leaky,scaled_tanh,8,8,66.08798789978027,80.99451351165771,-14.906525611877441,-48.451157229428134,8.69671682021751,6.9424887786393e-12,-24.225578614714067,1.527347531300646e-10,min
leaky,silu,8,8,66.08798789978027,66.83280658721924,-0.7448186874389648,-1.6253035909500961,13.475422465438871,0.1272472336848461,-0.812651795475048,0.5089889347393844,min
leaky,swiglu,8,8,66.08798789978027,63.27555322647095,2.812434673309326,7.611602034774095,13.268923411879914,3.386855508805124e-06,3.8058010173870476,4.064226610566149e-05,min
leaky,tanh,8,8,66.08798789978027,77.0770492553711,-10.98906135559082,-34.087923481453124,10.09413766323758,9.313227003036418e-12,-17.043961740726562,1.955777670637648e-10,min
mish,relu,8,8,67.41834259033203,66.12918186187744,1.2891607284545898,3.1505753769140554,13.064419658706425,0.007622448007581051,1.5752876884570277,0.045734688045486305,min
mish,scaled_tanh,8,8,67.41834259033203,80.99451351165771,-13.576170921325684,-39.777526571242234,8.355100610385632,8.048817263069902e-11,-19.888763285621117,1.5292752799832814e-09,min
mish,silu,8,8,67.41834259033203,66.83280658721924,0.585536003112793,1.2160765112326914,13.900621448202587,0.24420386105043151,0.6080382556163457,0.5089889347393844,min
mish,swiglu,8,8,67.41834259033203,63.27555322647095,4.142789363861084,10.410550483928327,12.547518861439725,1.553252313019345e-07,5.205275241964164,2.3298784695290175e-06,min
mish,tanh,8,8,67.41834259033203,77.0770492553711,-9.658706665039062,-27.236575561213893,9.505187342282404,2.4211279530042936e-10,-13.618287780606947,4.115917520107299e-09,min
relu,scaled_tanh,8,8,66.12918186187744,80.99451351165771,-14.865331649780273,-55.52253886806827,9.301919139786119,4.767994948710971e-13,-27.761269434034133,1.0966388382035233e-11,min
relu,silu,8,8,66.12918186187744,66.83280658721924,-0.7036247253417969,-1.6269787873007728,12.515772790962798,0.12864066282805287,-0.8134893936503864,0.5089889347393844,min
relu,swiglu,8,8,66.12918186187744,63.27555322647095,2.853628635406494,8.468373336462005,13.911186214117633,7.348638742955605e-07,4.234186668231002,1.0288094240137846e-05,min
relu,tanh,8,8,66.12918186187744,77.0770492553711,-10.947867393493652,-38.478317078476685,11.067118804720815,3.864119478909594e-13,-19.239158539238343,9.273886749383027e-12,min
scaled_tanh,silu,8,8,80.99451351165771,66.83280658721924,14.161706924438477,38.388609976455314,8.146929279760087,1.6938447639339915e-10,19.194304988227653,3.048920575081185e-09,min
scaled_tanh,swiglu,8,8,80.99451351165771,63.27555322647095,17.718960285186768,70.81410036157031,9.673651371475795,1.836348415306829e-14,35.407050180785156,4.958140721328438e-13,min
scaled_tanh,tanh,8,8,80.99451351165771,77.0770492553711,3.917464256286621,22.614146075961866,12.78048097323793,1.0908785515006385e-11,11.307073037980933,2.181757103001277e-10,min
silu,swiglu,8,8,66.83280658721924,63.27555322647095,3.557253360748291,8.432445986487073,11.960775798321254,2.2343115416469623e-06,4.216222993243536,2.904605004141051e-05,min
silu,tanh,8,8,66.83280658721924,77.0770492553711,-10.244242668151855,-26.86937699529416,9.134901592004026,5.234353789382415e-10,-13.43468849764708,8.374966063011864e-09,min
swiglu,tanh,8,8,63.27555322647095,77.0770492553711,-13.801496028900146,-51.47847337875628,11.611497924288772,4.548611452688908e-15,-25.739236689378135,1.2736112067528942e-13,min
