a,b,n_a,n_b,mean_a,mean_b,mean_diff,t,dof,p_raw,cohen_d,p_holm,direction
gelu,leaky,8,8,0.8534624949097633,0.8491625040769577,0.0042999908328056335,3.1999896032483814,13.566288607282752,0.006645438886602002,1.5999948016241907,0.04651807220621401,max
gelu,mish,8,8,0.8534624949097633,0.855787493288517,-0.002324998378753662,-1.5095243449053484,13.853737590368155,0.15363128232063306,-0.7547621724526742,0.46089384696189917,max
gelu,relu,8,8,0.8534624949097633,0.8499374985694885,0.003524996340274811,1.945096982391805,12.457378403302855,0.07468528370571313,0.9725484911959025,0.2987411348228525,max
gelu,scaled_tanh,8,8,0.8534624949097633,0.6009499952197075,0.25251249969005585,72.72221230444856,8.342848651090726,5.461430446927112e-13,36.36110615222428,9.28443175977609e-12,max
gelu,silu,8,8,0.8534624949097633,0.8570250123739243,-0.003562517464160919,-2.6884400313489834,13.396898623744544,0.01820415043987708,-1.3442200156744915,0.09102075219938541,max
gelu,tanh,8,8,0.8534624949097633,0.7722874879837036,0.08117500692605972,35.799346248578075,10.42120788473523,2.99529013885113e-12,17.899673124289038,3.893877180506469e-11,max
leaky,mish,8,8,0.8491625040769577,0.855787493288517,-0.006624989211559296,-4.627747919928275,13.005873595373233,0.0004726838783817276,-2.3138739599641376,0.004254154905435548,max
leaky,relu,8,8,0.8491625040769577,0.8499374985694885,-0.0007749944925308228,-0.450351104954137,11.206415596052791,0.6610453817709627,-0.2251755524770685,0.7952989258635448,max
leaky,scaled_tanh,8,8,0.8491625040769577,0.6009499952197075,0.2482125088572502,72.46059237341863,7.939973844216951,1.7344354600898241e-12,36.23029618670932,2.4282096441257537e-11,max
leaky,silu,8,8,0.8491625040769577,0.8570250123739243,-0.007862508296966553,-6.567845897395741,13.983173231346045,1.2611825102444464e-05,-3.2839229486978705,0.00012611825102444465,max
leaky,tanh,8,8,0.8491625040769577,0.7722874879837036,0.07687501609325409,35.02033448897584,9.464250109679481,2.4612369956410432e-11,17.51016724448792,2.7073606952051473e-10,max
mish,relu,8,8,0.855787493288517,0.8499374985694885,0.005849994719028473,3.114524251914786,13.123124538606788,0.008133303922208448,1.5572621259573929,0.048799823533250686,max
mish,scaled_tanh,8,8,0.855787493288517,0.6009499952197075,0.2548374980688095,72.66098138872805,8.642618760631443,2.3950706771078623e-13,36.330490694364016,4.311127218794152e-12,max
mish,silu,8,8,0.855787493288517,0.8570250123739243,-0.001237519085407257,-0.8751223466766802,12.78549760825766,0.3976494629317724,-0.4375611733383401,0.7952989258635448,max
mish,tanh,8,8,0.855787493288517,0.7722874879837036,0.08350000530481339,35.98166697067079,11.072171904082897,7.996230603824846e-13,17.990833485335394,1.2793968966119754e-11,max
relu,scaled_tanh,8,8,0.8499374985694885,0.6009499952197075,0.24898750334978104,68.49912023927757,9.716552444756605,2.2600320866781473e-14,34.24956011963879,4.746067382024109e-13,max
relu,silu,8,8,0.8499374985694885,0.8570250123739243,-0.00708751380443573,-4.153581907116228,10.976074399289143,0.0016141176687433974,-2.076790953558114,0.01291294134994718,max
relu,tanh,8,8,0.8499374985694885,0.7722874879837036,0.07765001058578491,30.94320715238815,12.879609938381256,1.792106363213868e-13,15.471603576194076,3.405002090106349e-12,max
scaled_tanh,silu,8,8,0.6009499952197075,0.8570250123739243,-0.25607501715421677,-74.91475676474903,7.8774608920613485,1.5908772656095743e-12,-37.457378382374515,2.3863158984143613e-11,max
scaled_tanh,tanh,8,8,0.6009499952197075,0.7722874879837036,-0.17133749276399612,-44.136550903846306,11.56479544289824,2.97135783315572e-14,-22.068275451923153,5.942715666311439e-13,max
silu,tanh,8,8,0.8570250123739243,0.7722874879837036,0.08473752439022064,38.80277071236386,9.308591949761878,1.299862159747247e-11,19.40138535618193,1.5598345916966963e-10,max
