a,b,n_a,n_b,mean_a,mean_b,mean_diff,t,dof,p_raw,cohen_d,p_holm,direction
gelu,leaky,8,8,0.7459500059485435,0.732000008225441,0.01394999772310257,3.707592279916493,13.817705153389243,0.002390207132181855,1.8537961399582465,0.01912165705745484,max
gelu,mish,8,8,0.7459500059485435,0.7205249965190887,0.025425009429454803,7.204383492938594,13.999476505246554,4.534816068885499e-06,3.602191746469297,4.534816068885499e-05,max
gelu,relu,8,8,0.7459500059485435,0.7333250045776367,0.01262500137090683,3.5074869955431827,13.984932439297712,0.0034881139857538615,1.7537434977715913,0.01912165705745484,max
gelu,scaled_tanh,8,8,0.7459500059485435,0.6477375030517578,0.09821250289678574,26.23601691735445,13.84504662481932,3.336497940727738e-13,13.118008458677224,9.008544439964892e-12,max
gelu,silu,8,8,0.7459500059485435,0.7204249948263168,0.025525011122226715,7.3250961601251054,13.985697079500445,3.7838102032655808e-06,3.6625480800625523,4.162191223592139e-05,max
gelu,swiglu,8,8,0.7459500059485435,0.7709500044584274,-0.02499999850988388,-8.750592018925017,10.882556092269766,2.9725063080447635e-06,-4.375296009462509,3.567007569653716e-05,max
gelu,tanh,8,8,0.7459500059485435,0.6761625036597252,0.06978750228881836,26.66308529944861,8.296607109623597,2.4672863676136772e-09,13.331542649724305,4.6878440984659866e-08,max
leaky,mish,8,8,0.732000008225441,0.7205249965190887,0.011475011706352234,3.058034127508887,13.798344728616605,0.00863377179458326,1.5290170637544436,0.030802022550732,max
leaky,relu,8,8,0.732000008225441,0.7333250045776367,-0.0013249963521957397,-0.34698084693964615,13.90570595519289,0.7338007673019677,-0.17349042346982307,1.0,max
leaky,scaled_tanh,8,8,0.732000008225441,0.6477375030517578,0.08426250517368317,21.30719246008194,13.998820404565915,4.557794293126562e-12,10.65359623004097,1.0938706303503748e-10,max
leaky,silu,8,8,0.732000008225441,0.7204249948263168,0.011575013399124146,3.119454778041188,13.706619265306136,0.007700505637683,1.559727389020594,0.030802022550732,max
leaky,swiglu,8,8,0.732000008225441,0.7709500044584274,-0.03894999623298645,-12.449611876046937,10.181275007782169,1.731839814557306e-07,-6.224805938023468,2.2513917589244976e-06,max
leaky,tanh,8,8,0.732000008225441,0.6761625036597252,0.05583750456571579,19.178362535430033,8.032740423611,5.393463208248e-08,9.589181267715015,9.1688874540216e-07,max
mish,relu,8,8,0.7205249965190887,0.7333250045776367,-0.012800008058547974,-3.566605874981419,13.978813149859363,0.003103765844929011,-1.7833029374907094,0.01912165705745484,max
mish,scaled_tanh,8,8,0.7205249965190887,0.6477375030517578,0.07278749346733093,19.49715653622353,13.827064524406962,1.8757679403790807e-11,9.748578268111766,4.201070498407223e-10,max
mish,silu,8,8,0.7205249965190887,0.7204249948263168,0.00010000169277191162,0.028788632373142786,13.990637100473721,0.9774398001616547,0.014394316186571393,1.0,max
mish,swiglu,8,8,0.7205249965190887,0.7709500044584274,-0.050425007939338684,-17.73287371115036,10.922178157431983,2.133256277389887e-09,-8.86643685557518,4.266512554779774e-08,max
mish,tanh,8,8,0.7205249965190887,0.6761625036597252,0.044362492859363556,17.044186274073503,8.312281163059334,9.296801096056281e-08,8.522093137036752,1.3015521534478794e-06,max
relu,scaled_tanh,8,8,0.7333250045776367,0.6477375030517578,0.0855875015258789,22.524211221294717,13.925339018900146,2.3623236980940427e-12,11.262105610647358,5.905809245235107e-11,max
relu,silu,8,8,0.7333250045776367,0.7204249948263168,0.012900009751319885,3.6388350567622116,13.941575374408888,0.0027003700805451713,1.8194175283811058,0.01912165705745484,max
relu,swiglu,8,8,0.7333250045776367,0.7709500044584274,-0.03762499988079071,-12.839407263404274,10.673738454784344,7.930698384241759e-08,-6.419703631702137,1.1896047576362638e-06,max
relu,tanh,8,8,0.7333250045776367,0.6761625036597252,0.05716250091791153,21.191712826123318,8.215487104358221,1.8375527454019123e-08,10.595856413061659,3.307594941723442e-07,max
scaled_tanh,silu,8,8,0.6477375030517578,0.7204249948263168,-0.07268749177455902,-19.692139987776336,13.74093921663975,1.826552390611836e-11,-9.846069993888168,4.201070498407223e-10,max
scaled_tanh,swiglu,8,8,0.6477375030517578,0.7709500044584274,-0.12321250140666962,-39.67451236317097,10.23361568257038,1.5229308965560357e-12,-19.83725618158548,3.9596203310456926e-11,max
scaled_tanh,tanh,8,8,0.6477375030517578,0.6761625036597252,-0.028425000607967377,-9.84679930099335,8.051661024770272,9.101854486784349e-06,-4.923399650496675,8.191669038105914e-05,max
silu,swiglu,8,8,0.7204249948263168,0.7709500044584274,-0.050525009632110596,-18.121254343724793,11.092182496841215,1.3659831733467059e-09,-9.060627171862397,2.8685646640280823e-08,max
silu,tanh,8,8,0.7204249948263168,0.6761625036597252,0.044262491166591644,17.411629393672936,8.380645473845474,7.117346658809763e-08,8.705814696836468,1.138775465409562e-06,max
swiglu,tanh,8,8,0.7709500044584274,0.6761625036597252,0.09478750079870224,60.164335555604936,10.944607533971904,3.788465064425376e-15,30.082167777802468,1.0607702180391054e-13,max
