task_a,task_b,spearman_rho,p
cls,lm,0.6785714285714287,0.09375025395983135
cls,lm_large,0.7142857142857144,0.07134356146753766
cls,vision_cnn,0.8571428571428573,0.013697326615325618
cls,vision_vit,0.642857142857143,0.11939237342741109
lm,lm_large,0.9642857142857145,0.00045414916919416935
lm,vision_cnn,0.4642857142857144,0.29393410760025196
lm,vision_vit,0.9642857142857145,0.00045414916919416935
lm_large,vision_cnn,0.42857142857142866,0.3373683110858243
lm_large,vision_vit,0.9285714285714288,0.0025194724037946887
vision_cnn,vision_vit,0.42857142857142866,0.3373683110858243
